order	season	zone	orderNumber	group	redCollegeName	redTeamName	blueCollegeName	blueTeamName	redSideWinGameCount	blueSideWinGameCount
1829	2021	总决赛	10	小组赛B	中国人民解放军国防科技大学	军临	北京理工大学（珠海）	高巨毅恒	0	2
1830	2021	总决赛	11	小组赛D	北京理工大学	Dream Chaser	东北大学	TDT	0	2
1831	2021	总决赛	12	小组赛E	中国石油大学（华东）	RPS	华北科技学院	风暴	2	0
1832	2021	总决赛	13	小组赛B	浙江纺织服装职业技术学院	Robofuture	大连理工大学	凌BUG	2	0
1833	2021	总决赛	14	小组赛A	哈尔滨工业大学（深圳）	南工骁鹰	广东工业大学	DynamicX	2	0
1834	2021	总决赛	15	小组赛F	哈尔滨工程大学	创梦之翼	华南理工大学	普渡华南虎	0	2
1835	2021	总决赛	16	小组赛C	浙江大学	Hello World	华南理工大学广州学院	野狼	2	0
1836	2021	总决赛	17	小组赛D	东北大学	TDT	上海工程技术大学	木鸢Birdiebot	2	0
1837	2021	总决赛	18	小组赛E	华北科技学院	风暴	上海交通大学	云汉交龙	0	2
1838	2021	总决赛	19	小组赛B	浙江纺织服装职业技术学院	Robofuture	北京理工大学（珠海）	高巨毅恒	0	2
1839	2021	总决赛	20	小组赛F	哈尔滨工业大学（威海）	HERO	大连交通大学	TOE	0	2
1840	2021	总决赛	21	小组赛H	南方科技大学	ARTINX	桂林理工大学	Stellaris	0	2
1841	2021	总决赛	22	小组赛G	中国石油大学（北京）	SPR	桂林电子科技大学	Evolution	0	2
1842	2021	总决赛	23	小组赛C	北京科技大学	Reborn	安徽信息工程学院	Artisans	2	0
1843	2021	总决赛	24	小组赛H	桂林理工大学	Stellaris	杭州电子科技大学	PHOENIX	2	0
1844	2021	总决赛	25	小组赛D	北京理工大学	Dream Chaser	深圳大学	RobotPilots	0	2
1845	2021	总决赛	26	小组赛E	中国石油大学（华东）	RPS	太原理工大学	TRoMaC	2	0
1846	2021	总决赛	27	小组赛B	大连理工大学	凌BUG	中国人民解放军国防科技大学	军临	1	1
1847	2021	总决赛	28	小组赛G	西北工业大学	纵维立方WMJ	桂林电子科技大学	Evolution	0	2
1848	2021	总决赛	29	小组赛A	广东工业大学	DynamicX	南昌大学	Passion	0	2
1849	2021	总决赛	30	小组赛G	哈尔滨工业大学	I Hiter	中国石油大学（北京）	SPR	2	0
1850	2021	总决赛	31	小组赛B	中国人民解放军国防科技大学	军临	浙江纺织服装职业技术学院	Robofuture	1	1
1851	2021	总决赛	32	小组赛C	安徽信息工程学院	Artisans	浙江大学	Hello World	0	2
1852	2021	总决赛	33	小组赛D	深圳大学	RobotPilots	东北大学	TDT	1	1
1853	2021	总决赛	34	小组赛E	上海交通大学	云汉交龙	中国石油大学（华东）	RPS	2	0
1854	2021	总决赛	35	小组赛F	大连交通大学	TOE	哈尔滨工程大学	创梦之翼	2	0
1855	2021	总决赛	36	小组赛G	桂林电子科技大学	Evolution	哈尔滨工业大学	I Hiter	0	2
1856	2021	总决赛	37	小组赛B	北京理工大学（珠海）	高巨毅恒	大连理工大学	凌BUG	2	0
1857	2021	总决赛	38	小组赛C	华南理工大学广州学院	野狼	北京科技大学	Reborn	0	2
1858	2021	总决赛	39	小组赛D	上海工程技术大学	木鸢Birdiebot	北京理工大学	Dream Chaser	2	0
1859	2021	总决赛	40	小组赛E	太原理工大学	TRoMaC	华北科技学院	风暴	1	1
1860	2021	总决赛	41	小组赛F	华南理工大学	普渡华南虎	哈尔滨工业大学（威海）	HERO	2	0
1861	2021	总决赛	42	小组赛G	中国石油大学（北京）	SPR	西北工业大学	纵维立方WMJ	0	2
1862	2021	总决赛	43	16进8淘汰赛	哈尔滨工业大学（深圳）	南工骁鹰	浙江纺织服装职业技术学院	Robofuture	1	0
1863	2021	总决赛	44	16进8淘汰赛	深圳大学	RobotPilots	浙江大学	Hello World	1	0
1864	2021	总决赛	45	16进8淘汰赛	上海交通大学	云汉交龙	大连交通大学	TOE	1	0
1865	2021	总决赛	46	16进8淘汰赛	南方科技大学	ARTINX	哈尔滨工业大学	I Hiter	0	1
1866	2021	总决赛	47	16 进 8 胜者组	哈尔滨工业大学（深圳）	南工骁鹰	深圳大学	RobotPilots	0	1
1867	2021	总决赛	48	16 进 8 胜者组	上海交通大学	云汉交龙	哈尔滨工业大学	I Hiter	1	0
1868	2021	总决赛	49	16 进 8 败者组第一轮	浙江纺织服装职业技术学院	Robofuture	浙江大学	Hello World	0	1
1869	2021	总决赛	50	16 进 8 败者组第一轮	大连交通大学	TOE	南方科技大学	ARTINX	1	0
1870	2021	总决赛	51	16 进 8 败者组第二轮	浙江大学	Hello World	哈尔滨工业大学	I Hiter	0	1
1871	2021	总决赛	52	16 进 8 败者组第二轮	哈尔滨工业大学（深圳）	南工骁鹰	大连交通大学	TOE	1	0
1872	2021	总决赛	53	16进8淘汰赛	南昌大学	Passion	北京理工大学（珠海）	高巨毅恒	0	1
1873	2021	总决赛	54	16进8淘汰赛	东北大学	TDT	北京科技大学	Reborn	1	0
1874	2021	总决赛	55	16进8淘汰赛	中国石油大学（华东）	RPS	华南理工大学	普渡华南虎	1	0
1875	2021	总决赛	56	16进8淘汰赛	桂林理工大学	Stellaris	桂林电子科技大学	Evolution	0	1
1876	2021	总决赛	57	16 进 8 胜者组	北京理工大学（珠海）	高巨毅恒	东北大学	TDT	0	1
1877	2021	总决赛	58	16 进 8 胜者组	中国石油大学（华东）	RPS	桂林电子科技大学	Evolution	1	0
1878	2021	总决赛	59	16 进 8 败者组第一轮	南昌大学	Passion	北京科技大学	Reborn	1	0
1879	2021	总决赛	60	16 进 8 败者组第一轮	华南理工大学	普渡华南虎	桂林理工大学	Stellaris	1	0
1880	2021	总决赛	61	16 进 8 败者组第二轮	南昌大学	Passion	桂林电子科技大学	Evolution	0	1
1881	2021	总决赛	62	16 进 8 败者组第二轮	北京理工大学（珠海）	高巨毅恒	华南理工大学	普渡华南虎	0	1
1882	2021	总决赛	63	8 进 4 胜者组	深圳大学	RobotPilots	上海交通大学	SJTU	0	1
1883	2021	总决赛	64	8 进 4 胜者组	东北大学	TDT	中国石油大学（华东）	RPS	1	0
1884	2021	总决赛	65	8 进 4 败者组第一轮	哈尔滨工业大学	I Hiter	哈尔滨工业大学（深圳）	南工骁鹰	1	0
1885	2021	总决赛	66	8 进 4 败者组第一轮	桂林电子科技大学	Evolution	华南理工大学	普渡华南虎	0	1
1886	2021	总决赛	67	8 进 4 败者组第二轮	哈尔滨工业大学	I Hiter	深圳大学	RobotPilots	1	0
